candle,timestamp_utc,utc_hour,utc_minute,trading_session,elapsed_s,spot_start,spot_chg,up_ask,dn_ask,max_up,max_dn,ratio,signal_dir,signal_price,entry_time,winner,pnl,would_win
39,2026-04-12T09:00:05.052734+00:00,9,0,europe,120,71606.92,20.24,0.58,0.42000000000000004,26.12,11.16,2.341,UP,0.58,120,UP,7.24,True
40,2026-04-12T09:05:04.902050+00:00,9,5,europe,120,71627.16,-62.31,0.26,0.74,5.85,86.16,14.728,DN,0.74,120,UP,-10.0,False
41,2026-04-12T09:10:04.739270+00:00,9,10,europe,120,71564.85,6.51,0.5,0.5,17.49,16.54,1.057,NONE,,120,UP,0,
42,2026-04-12T09:15:04.812772+00:00,9,15,europe,120,71571.36,20.38,0.5,0.5,20.38,14.78,1.379,NONE,,120,UP,0,
43,2026-04-12T09:20:04.777038+00:00,9,20,europe,120,71591.74,8.25,0.5,0.5,8.26,6.41,1.289,NONE,,120,UP,0,
44,2026-04-12T09:25:04.583441+00:00,9,25,europe,120,71599.99,22.91,0.6799999999999999,0.32,18.56,17.28,1.074,DN,0.32,120,UP,-10.0,False
45,2026-04-12T09:30:04.683924+00:00,9,30,europe,120,71622.9,-30.79,0.6599999999999999,0.34,0.01,16.3,32.6,DN,0.34,120,UP,-10.0,False
46,2026-04-12T09:35:04.924288+00:00,9,35,europe,120,71592.11,36.89,0.5,0.5,28.33,0.01,56.66,NONE,,120,UP,0,
47,2026-04-12T09:40:04.870305+00:00,9,40,europe,120,71629.0,3.43,0.35,0.65,0.0,37.0,74.0,DN,0.65,120,UP,-10.0,False
48,2026-04-12T09:45:04.589790+00:00,9,45,europe,120,71632.43,-71.01,0.31000000000000005,0.69,0.0,71.02,142.04,DN,0.69,120,UP,-10.0,False
49,2026-04-12T09:50:05.138281+00:00,9,50,europe,120,71561.42,-34.72,0.44,0.56,20.58,53.71,2.61,UP,0.44,120,UP,12.73,True
50,2026-04-12T09:55:05.007789+00:00,9,55,europe,120,71526.7,12.71,0.62,0.38,22.06,0.01,44.12,UP,0.62,120,UP,6.13,True
51,2026-04-12T10:00:04.839566+00:00,10,0,europe,120,71539.41,-7.46,0.5,0.5,3.31,7.47,2.257,NONE,,120,UP,0,
52,2026-04-12T10:05:04.783993+00:00,10,5,europe,120,71531.95,-2.91,0.51,0.49,3.33,21.51,6.459,DN,0.49,120,UP,-10.0,False
53,2026-04-12T10:10:04.611537+00:00,10,10,europe,120,71529.04,142.44,0.93,0.06999999999999995,153.68,0.0,307.36,UP,0.93,120,UP,0.75,True
54,2026-04-12T10:15:04.527695+00:00,10,15,europe,120,71671.48,-41.48,0.06000000000000005,0.94,0.0,56.99,113.98,DN,0.94,120,UP,-10.0,False
55,2026-04-12T10:20:04.824333+00:00,10,20,europe,120,71630.0,13.54,0.64,0.36,29.31,0.0,58.62,UP,0.64,120,DN,-10.0,False
56,2026-04-12T10:25:05.212994+00:00,10,25,europe,120,71643.54,7.17,0.5,0.5,7.18,0.0,14.36,NONE,,120,DN,0,
57,2026-04-12T10:30:04.196325+00:00,10,30,europe,120,71650.71,-49.97,0.35,0.65,0.01,39.75,79.5,DN,0.65,120,UP,-10.0,False
58,2026-04-12T10:35:04.431577+00:00,10,35,europe,120,71600.74,-8.96,0.5,0.5,3.26,8.96,2.748,NONE,,120,UP,0,
59,2026-04-12T10:40:04.442315+00:00,10,40,europe,120,71591.78,-52.58,0.08999999999999997,0.91,0.01,56.22,112.44,DN,0.91,120,UP,-10.0,False
60,2026-04-12T10:45:04.942028+00:00,10,45,europe,120,71539.2,-19.66,0.20999999999999996,0.79,0.01,28.55,57.1,DN,0.79,120,UP,-10.0,False
61,2026-04-12T10:50:04.460935+00:00,10,50,europe,120,71519.54,-23.91,0.5,0.5,2.54,35.11,13.823,NONE,,120,DN,0,
62,2026-04-12T10:55:04.899372+00:00,10,55,europe,120,71495.63,-81.35,0.82,0.18000000000000005,20.37,128.63,6.315,UP,0.82,120,UP,2.2,True
63,2026-04-12T11:00:04.733864+00:00,11,0,europe,120,71414.28,38.6,0.6599999999999999,0.34,41.43,56.51,1.364,DN,0.34,120,UP,-10.0,False
64,2026-04-12T11:05:05.065498+00:00,11,5,europe,120,71452.88,-18.07,0.5,0.5,44.79,13.34,3.358,NONE,,120,UP,0,
65,2026-04-12T11:10:04.390841+00:00,11,10,europe,120,71434.81,-2.81,0.77,0.22999999999999998,43.08,13.44,3.205,UP,0.77,120,UP,2.99,True
66,2026-04-12T11:15:04.267188+00:00,11,15,europe,120,71432.0,83.1,0.59,0.41000000000000003,110.89,3.31,33.502,UP,0.59,120,UP,6.95,True
67,2026-04-12T11:20:04.418507+00:00,11,20,europe,120,71515.1,4.32,0.5,0.5,6.3,19.1,3.032,NONE,,120,UP,0,
68,2026-04-12T11:25:04.840083+00:00,11,25,europe,120,71519.42,-17.12,0.75,0.25,23.65,0.0,47.3,UP,0.75,120,UP,3.33,True
69,2026-04-12T11:30:04.817924+00:00,11,30,europe,120,71502.3,15.53,0.5,0.5,15.54,2.3,6.757,NONE,,120,UP,0,
